epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7112,1.98657,3.50019,2.01805,0.01243,0.25,0.24146,0.15742,1.75401,3.93051,2.22931,0.0001,0.0001,0.0001
2,34.3045,1.53674,2.95014,1.64224,0.03345,0.25,0.24875,0.18268,1.2283,3.59008,1.63214,0.000210396,0.000210396,0.000210396
3,42.1548,1.32714,2.2124,1.43547,0.03209,0.25,0.24875,0.16702,1.1583,3.4549,1.50009,0.000318565,0.000318565,0.000318565
4,50.6422,1.28507,1.58246,1.42631,0.04025,0.25,0.24875,0.16394,1.07411,3.31085,1.407,0.000424506,0.000424506,0.000424506
5,58.8655,1.2553,1.40057,1.43532,0.99597,0.25,0.531,0.34649,1.18963,2.87843,1.58775,0.00052822,0.00052822,0.00052822
6,67.0719,1.20439,1.25642,1.38521,0.99085,0.25,0.81246,0.51209,1.16405,2.65773,1.53864,0.000629706,0.000629706,0.000629706
7,74.7344,1.19035,1.11004,1.35075,0.99194,0.25,0.93251,0.62479,1.12483,2.59769,1.44419,0.000728965,0.000728965,0.000728965
8,82.9795,1.1952,1.09801,1.35667,0.92667,0.48407,0.995,0.67082,1.25426,2.09281,1.50545,0.000825996,0.000825996,0.000825996
9,91.5086,1.18716,1.09077,1.33738,0.86509,0.60315,0.995,0.66076,1.2226,1.98473,1.49657,0.0009208,0.0009208,0.0009208
10,99.8641,1.17828,1.09341,1.38257,0.9669,0.7471,0.995,0.6434,1.19221,1.73409,1.56193,0.00101338,0.00101338,0.00101338
11,109.123,1.20027,1.09441,1.37648,0.97218,1,0.995,0.63071,1.24371,1.40058,1.59175,0.00110373,0.00110373,0.00110373
12,118.339,1.14527,1.08421,1.31259,0.98143,1,0.995,0.64503,1.24465,1.04719,1.58523,0.00111388,0.00111388,0.00111388
13,127.784,1.1799,1.01459,1.36141,0.9737,0.9987,0.995,0.65132,1.2385,1.08895,1.60255,0.0011015,0.0011015,0.0011015
14,136.974,1.20439,1.04031,1.36329,0.97761,0.99944,0.995,0.64288,1.24159,1.10005,1.55657,0.00108913,0.00108913,0.00108913
15,145.95,1.15297,0.98404,1.32956,0.98211,1,0.995,0.65067,1.23942,0.98988,1.50428,0.00107675,0.00107675,0.00107675
16,155.035,1.14809,0.97276,1.32583,0.98737,1,0.995,0.65039,1.1981,0.97483,1.4742,0.00106437,0.00106437,0.00106437
17,164.183,1.11903,0.93887,1.26355,0.99357,0.9997,0.995,0.65504,1.16765,0.96509,1.41076,0.001052,0.001052,0.001052
18,172.985,1.15237,0.9808,1.31807,0.98463,1,0.995,0.66424,1.16328,0.98295,1.44147,0.00103962,0.00103962,0.00103962
19,182.522,1.12271,0.9486,1.30357,0.97982,1,0.995,0.66962,1.18138,0.97079,1.5218,0.00102725,0.00102725,0.00102725
20,192.726,1.06985,0.89859,1.2694,0.98141,1,0.995,0.64352,1.272,0.9899,1.58644,0.00101488,0.00101488,0.00101488
21,203.094,1.13678,0.92224,1.30998,0.98443,1,0.995,0.66206,1.22115,0.95124,1.52573,0.0010025,0.0010025,0.0010025
22,213.555,1.14152,0.86313,1.25203,0.98523,1,0.995,0.68336,1.14652,0.94896,1.49629,0.000990125,0.000990125,0.000990125
23,224.046,1.16188,0.91744,1.31649,0.9832,1,0.995,0.68018,1.13497,0.93784,1.50642,0.00097775,0.00097775,0.00097775
24,234.66,1.15767,0.90334,1.32447,0.98122,1,0.995,0.66627,1.12866,0.88627,1.51151,0.000965375,0.000965375,0.000965375
25,245.41,1.13099,0.87967,1.28061,0.97775,1,0.995,0.67559,1.11182,0.86032,1.47287,0.000953,0.000953,0.000953
26,254.714,1.15034,0.88457,1.30887,0.96687,1,0.995,0.67835,1.12239,0.86768,1.43799,0.000940625,0.000940625,0.000940625
27,264.429,1.10728,0.8772,1.27299,0.98425,1,0.995,0.6709,1.15231,0.87873,1.46751,0.00092825,0.00092825,0.00092825
28,275.167,1.1407,0.85072,1.29096,0.98807,0.99826,0.995,0.68666,1.12615,0.86681,1.47681,0.000915875,0.000915875,0.000915875
29,284.385,1.08628,0.84961,1.23676,0.98671,0.99961,0.995,0.69891,1.08425,0.84252,1.43626,0.0009035,0.0009035,0.0009035
30,294.437,1.10886,0.80424,1.26225,0.98355,1,0.995,0.69434,1.12825,0.84608,1.43746,0.000891125,0.000891125,0.000891125
31,303.391,1.10306,0.82605,1.25113,0.98,1,0.995,0.67459,1.15592,0.84749,1.4303,0.00087875,0.00087875,0.00087875
32,311.168,1.08769,0.84335,1.24202,0.9796,1,0.995,0.68797,1.12512,0.82473,1.4084,0.000866375,0.000866375,0.000866375
33,320.263,1.08823,0.82002,1.26903,0.98373,1,0.995,0.67137,1.12865,0.80607,1.49085,0.000854,0.000854,0.000854
34,329.046,1.07011,0.79344,1.23422,0.98795,1,0.995,0.67323,1.14694,0.82104,1.56038,0.000841625,0.000841625,0.000841625
35,337.461,1.12343,0.80625,1.2486,0.98855,1,0.995,0.69198,1.15063,0.81112,1.4938,0.00082925,0.00082925,0.00082925
36,346.318,1.101,0.76256,1.27481,0.9863,1,0.995,0.70481,1.14092,0.79614,1.45367,0.000816875,0.000816875,0.000816875
37,355.551,1.07205,0.79582,1.25265,0.98447,1,0.995,0.70176,1.12213,0.76459,1.43206,0.0008045,0.0008045,0.0008045
38,364.199,1.12127,0.79718,1.3032,0.98372,1,0.995,0.69039,1.10793,0.75782,1.43619,0.000792125,0.000792125,0.000792125
39,372.618,1.08459,0.81281,1.22975,0.98747,1,0.995,0.6853,1.08911,0.76879,1.4443,0.00077975,0.00077975,0.00077975
40,382.136,1.05209,0.76545,1.23662,0.98323,1,0.995,0.6835,1.13957,0.78115,1.44528,0.000767375,0.000767375,0.000767375
41,391.07,1.06316,0.7816,1.26782,0.98054,1,0.995,0.68495,1.18438,0.79986,1.45667,0.000755,0.000755,0.000755
42,399.755,1.08388,0.79892,1.25706,0.97888,1,0.995,0.68592,1.17256,0.80046,1.45498,0.000742625,0.000742625,0.000742625
43,408.872,1.07263,0.7839,1.27249,0.98562,1,0.995,0.69198,1.1276,0.76908,1.41333,0.00073025,0.00073025,0.00073025
44,418.661,1.06155,0.73964,1.23365,0.98727,1,0.995,0.68539,1.12234,0.7673,1.37682,0.000717875,0.000717875,0.000717875
45,426.905,1.05314,0.77782,1.2182,0.98758,1,0.995,0.67848,1.12401,0.78028,1.36575,0.0007055,0.0007055,0.0007055
46,435.372,1.05589,0.73811,1.21403,0.9831,1,0.995,0.67132,1.10033,0.76058,1.34864,0.000693125,0.000693125,0.000693125
47,443.587,1.03286,0.7075,1.21033,0.97739,1,0.995,0.66922,1.11223,0.74547,1.36447,0.00068075,0.00068075,0.00068075
48,451.892,1.06441,0.71565,1.22079,0.97742,1,0.995,0.66777,1.10673,0.7367,1.37293,0.000668375,0.000668375,0.000668375
49,459.778,1.04872,0.73106,1.23727,0.98182,1,0.995,0.67194,1.10778,0.72185,1.36522,0.000656,0.000656,0.000656
50,467.509,1.03418,0.72114,1.24024,0.98835,1,0.995,0.669,1.14484,0.72534,1.38348,0.000643625,0.000643625,0.000643625
51,477.271,1.04915,0.73897,1.25597,0.99193,1,0.995,0.70422,1.06641,0.72009,1.35528,0.00063125,0.00063125,0.00063125
52,487.18,1.01121,0.70287,1.1902,0.99319,1,0.995,0.69191,1.08933,0.7166,1.36072,0.000618875,0.000618875,0.000618875
53,496.995,1.02067,0.69464,1.20363,0.98645,1,0.995,0.69695,1.09014,0.72128,1.37376,0.0006065,0.0006065,0.0006065
54,506.779,1.03372,0.69853,1.21537,0.98394,1,0.995,0.68807,1.10378,0.73964,1.39459,0.000594125,0.000594125,0.000594125
55,516.619,1.0066,0.6944,1.19999,0.98319,1,0.995,0.67428,1.11875,0.7399,1.4153,0.00058175,0.00058175,0.00058175
56,526.261,1.00547,0.67624,1.19164,0.9841,1,0.995,0.69065,1.09172,0.71219,1.40573,0.000569375,0.000569375,0.000569375
57,536.772,0.99644,0.68479,1.20518,0.98666,1,0.995,0.68871,1.0808,0.69612,1.40338,0.000557,0.000557,0.000557
58,547.945,1.02969,0.70493,1.20209,0.98794,1,0.995,0.696,1.09216,0.6821,1.40134,0.000544625,0.000544625,0.000544625
59,560.061,1.07394,0.72923,1.24888,0.98605,0.73684,0.73708,0.53638,1.06787,0.68802,1.38377,0.00053225,0.00053225,0.00053225
60,572.233,1.05976,0.71559,1.21519,0.98573,0.84211,0.84619,0.6104,1.0709,0.68883,1.38253,0.000519875,0.000519875,0.000519875
61,584.709,1.00559,0.66405,1.17691,0.98544,1,0.995,0.70698,1.06836,0.66641,1.36612,0.0005075,0.0005075,0.0005075
62,596.081,1.04525,0.69945,1.21381,0.98563,1,0.995,0.70391,1.04902,0.66363,1.35106,0.000495125,0.000495125,0.000495125
63,606.647,1.02391,0.67062,1.19331,0.98545,1,0.995,0.68486,1.04677,0.66541,1.352,0.00048275,0.00048275,0.00048275
64,617.431,1.01344,0.65406,1.19379,0.98947,1,0.995,0.68811,1.08025,0.66468,1.3667,0.000470375,0.000470375,0.000470375
65,629.212,0.99658,0.69025,1.18785,0.99129,1,0.995,0.69367,1.06566,0.65602,1.36625,0.000458,0.000458,0.000458
66,641.663,1.01117,0.65076,1.21945,0.98735,0.73684,0.73739,0.53059,1.03045,0.64068,1.35358,0.000445625,0.000445625,0.000445625
67,653.198,0.99963,0.65141,1.17869,0.98703,1,0.995,0.69387,1.08113,0.6464,1.38956,0.00043325,0.00043325,0.00043325
68,663.551,0.98821,0.61882,1.18555,0.98728,1,0.995,0.69684,1.06812,0.64052,1.38802,0.000420875,0.000420875,0.000420875
69,673.174,0.98345,0.61973,1.20451,0.98875,1,0.995,0.68152,1.07894,0.64672,1.38292,0.0004085,0.0004085,0.0004085
70,683.343,1.02132,0.66286,1.19669,0.98925,1,0.995,0.67527,1.0824,0.64548,1.36743,0.000396125,0.000396125,0.000396125
71,692.907,1.01228,0.63939,1.18683,0.99167,1,0.995,0.68519,1.09441,0.6412,1.36554,0.00038375,0.00038375,0.00038375
72,702.875,1.04931,0.66498,1.22015,0.99369,1,0.995,0.69132,1.10717,0.64148,1.36118,0.000371375,0.000371375,0.000371375
73,713.737,1.01699,0.62507,1.16629,0.99184,1,0.995,0.6977,1.105,0.64576,1.35653,0.000359,0.000359,0.000359
74,725.334,0.95186,0.65581,1.2033,0.99073,1,0.995,0.69445,1.09678,0.65104,1.35945,0.000346625,0.000346625,0.000346625
75,738.556,0.98327,0.63477,1.17557,0.99147,1,0.995,0.69549,1.07849,0.64802,1.36336,0.00033425,0.00033425,0.00033425
76,750.022,0.96798,0.66098,1.20051,0.98965,0.78947,0.78671,0.55862,1.09248,0.63334,1.37345,0.000321875,0.000321875,0.000321875
77,761.469,1.00645,0.64049,1.17137,0.99066,0.73684,0.73706,0.53242,1.08419,0.61551,1.36935,0.0003095,0.0003095,0.0003095
78,773.95,0.9685,0.60346,1.21589,0.99386,0.89474,0.89581,0.64391,1.07907,0.59639,1.36201,0.000297125,0.000297125,0.000297125
79,786.35,0.97006,0.61448,1.1577,0.99495,1,0.995,0.71813,1.0784,0.58811,1.35887,0.00028475,0.00028475,0.00028475
80,797.703,0.93409,0.58668,1.17391,0.99506,1,0.995,0.72151,1.07565,0.59313,1.3598,0.000272375,0.000272375,0.000272375
81,809.931,0.98107,0.58587,1.14658,0.9944,0.94737,0.94545,0.68775,1.05314,0.58917,1.3467,0.00026,0.00026,0.00026
82,819.439,0.97529,0.59818,1.1709,0.99428,1,0.995,0.72003,1.03463,0.57822,1.33733,0.000247625,0.000247625,0.000247625
83,830.426,0.98104,0.61127,1.17476,0.99276,1,0.995,0.71054,1.0194,0.58257,1.33435,0.00023525,0.00023525,0.00023525
